Class,From,Subject,Message
med," snichols@adobe.com (Sherri Nichols)"," Re: Exercise and Migraine","In article <1993Apr15.163133.25634@ntmtv> janet@ntmtv.com (Janet Jakstys) writes: >This isn't the first time that I've had a migraine occur after exercise. >I'm wondering if anyone else has had the same experience and I wonder >what triggers the migraine in this situation (heat buildup? dehydration?). >I'm not giving up tennis so is there anything I can do (besides get into  >shape and don't play at high noon) to prevent this?  I've gotten migraines after exercise, though for me it seems to be related to exercising without having eaten recently.    Sherri Nichols snichols@adobe.com NA NA NA NA NA NA"
med," hrubin@pop.stat.purdue.edu (Herman Rubin)"," Re: Science and Methodology","In article <1qk92lINNl55@im4u.cs.utexas.edu> turpin@cs.utexas.edu (Russell Turpin) writes:  >In article <C5I2Bo.CG9@news.Hawaii.Edu> lady@uhunix.uhcc.Hawaii.Edu (Lee Lady) writes: >> The difference between a Nobel Prize level scientist and a mediocre >> scientist does not lie in the quality of their empirical methodology.   >> It depends on the quality of their THINKING.    			....................  >Lee Lady is correct when she asserts that the difference between >Einstein and the average post-doc physicist is the quality of >their thought.  But what is the difference between Einstein and a >genius who would be a great scientist but whose great thoughts >are scientifically screwy?  This example is probably wrong.  There is the case of one famous physicist telling another that he was probably wrong.  As I recall the quote:  	Your ideas are crazy, to be sure.  But they are not crazy 	enough to be right.  The typical screwball is only somewhat screwy. --  Herman Rubin, Dept. of Statistics, Purdue Univ., West Lafayette IN47907-1399 Phone: (317)494-6054 hrubin@snap.stat.purdue.edu (Internet, bitnet)   {purdue,pur-ee}!snap.stat!hrubin(UUCP) NA NA NA NA NA NA"
med," fulk@cs.rochester.edu (Mark Fulk)"," Re: Science and methodology (was: Homeopathy ... tradition?)","In article <C5JE94.KrL@unx.sas.com> sasghm@theseus.unx.sas.com (Gary Merrill) writes: > >In article <1993Apr15.161112.21772@cs.rochester.edu>, fulk@cs.rochester.edu (Mark Fulk) writes: > >|> I don't think  extra-scientific  is a very useful phrase in a discussion >|> of the boundaries of science, except as a proposed definiens. >|> Extra-rational >|> is a better phrase.  In fact, there are quite a number of well-known cases >|> of extra-rational considerations driving science in a useful direction. > >Yeah, but the problem with holding up the  extra-rational  examples as >exemplars, or as refutations of well founded methodology, is that you >run smack up against such unuseful directions as Lysenko.  Such  extra- >rational  cases are curiosities -- not guides to methodology.  As has been noted before, there is the distinction between _motivation_ and _method_.  No experimental result should be accepted unless it is described in sufficient detail to be replicated, and the replications do indeed reproduce the result.  No theoretical argument should be accepted unless it is presented in sufficient detail to be followed, and reasonable, knowlegeable, people agree with the force of the logic.  But people try experiments, and pursue arguments, for all sorts of crazy reasons.  Irrational motivations are not just curiousities; they are a large part of the history of science.  There are a couple of negative points to make here:  1) A theory of qi could, conceivably, become accepted without direct verification of the existence of qi.  For example, quarks are an accepted part of the standard model of physics, with no direct verification.  What would be needed would be a theory, based on qi, that predicted medical reality better than the alternatives.  The central theoretical claim could lie forever beyond experiment, as long as there was a sufficient body of experimental data that the qi theory predicted better than any other.  (I wouldn't hold my breath waiting for the triumph of qi, though. I don't think that there is even a coherent theory based on it, much less a theory that explains anything at all better than modern biology.  And it is hard to imagine a qi theory that would not predict some way of rather directly verifying the existence of qi.)  2) Science has not historically progressed in any sort of rational experiment-data-theory sequence.  Most experiments are carried out, and interpreted, in pre-existing theoretical frameworks.  The theoretical controversies of the day determine which experiments get done.  Overall, there is a huge messy affair of personal jealousies, crazy motivations, petty hatreds, and the like that determines which experiments, and which computations, get done.  What keeps it going forward is the critical function of science: results don't count unless they can be replicated.  The whole system is a sort of mechanism for generate-and-test.  The generate part can be totally irrational, as long as the test part works properly.  Pasteur could believe whatever he liked about chemical activity and crystals; but even Mitscherlich had to agree that racemic acid crystals were handed; that when you separate them by handedness, you get two chemicals that rotate polarized light in opposite directions; and the right-rotating version was indistinguishable from tartaric acid.  Pasteur's irrational motivation had led to a replicable, and important, result.  This is where Lysenko, creationists, etc. fail.  They have usually not even produced coherent theories that predict much of anything.  When their theories do predict, and are contradicted by experiment, they do not concede the point and modify their theories; rather they try to suppress the results (Lysenko) or try to divert attention to other evidence they think supports their position (creationists). --  Mark A. Fulk			University of Rochester Computer Science Department	fulk@cs.rochester.edu NA NA NA NA"
med," uabdpo.dpo.uab.edu!gila005 (Steve Holland)"," Re: Crohn's Disease","In article <1993Apr14.174824.12295@westminster.ac.uk>, kxaec@sun.pcl.ac.uk (David Watters) wrote: >  > Dear all, >  > I am a Crohn's Disease sufferer and I'm interested if anyone knows of any current research that is going on into the subject. I've done some investigation myself so you don't need to spare me any details. I've had the fistulas, the ileostomy, etc.. >  > Is a  cure  on the horizon ? >  > I am not in the medical profession so if you do reply I would appreciate plain speak. >  > I'd prefer to be mailed direct as I don't always get a chance to read the news. >  > Thank you in advance. >  > Dave. The best group to keep you informed is the Crohn's and Colitis Foundation of America.  I do not know if the UK has a similar organization.  The address of the CCFA is   CCFA 444 Park Avenue South 11th Floor New York, NY  10016-7374 USA  They have a lot of information available and have a number of newsletters.   Good Luck.  Steve NA NA NA NA NA"
med," sue@netcom.com (Sue Miller)"," Re: Eugenics","In article <19617@pitt.UUCP> geb@cs.pitt.edu (Gordon Banks) writes: >we do this?  Should we make a race of disease-free, long-lived, >Arnold Schwartzenegger-muscled, supermen?  Even if we can. >  Sure, as long as they'll make one for me.  NA NA NA NA NA"
med," lehr@austin.ibm.com (Ted Lehr)"," Re: Science and methodology (was: Homeopathy ... tradition?)"," Gary Merrill writes: > .. Not every wild flight of fancy serves > (or can serve) in the appropriate relation to a hypothesis.  It is > somewhat interesting that when anyone is challanged to provide an > example of this sort the *only* one they come up with is the one about > Kekule.  Surely, there must be others.  But apparently this is regarded > as an *extreme* example of a  non-rational  process in science whereby > a successful hypothesis was proposed.  But how non-rational is it?  Indeed, an extreme example.  It came  out of nowhere.   The connection Kekule saw between it and his problem is fortunate but not extraordinary. I, for example, often receive/conjure solutions (hypotheses for solutions)  to my everyday problems at moments when I appear to myself to be occupied  with activities quite removed.  Algorithms for that new software feature come when I trample the meadow on my occasional runs.  Alternative (better>) ways  to instruct and rear my sons arrive while I weed the garden.  I'll swear I am  not thinking about any of it when ideas come.     These ideas are not the stuff of  great  discoveries, of course, but my connecting them to particular problems is fraught with deliberation and occasional fits of rationality.  > Surely it wasn't the *only* daydream [Kekule] had.  What was special about > *this* one?  Could it have had something to do with a perceived > *analogy* between the geometry of the snakes and problems concerning > geometry of molecules?    Yes.  And he was lucky to have such a colorful, vivid image.  I, alas, will never figure out why returning worms to the loose soil of my garden brought,   have him count objects instead of merely count  to mind regarding my 2  year-old's fledging arithmetic skills.  > ... Upon close examination, > is there a non-rational mystical leap taking place, or is it perhaps > closer to a formal (though often incomplete) analogy or model?  The latter.  Worms wiggling around in the dirt fascinate my son.  Regards,  Ted  --  Ted Lehr                             |  ...my thoughts, opinions and questions...  Future Systems Technology Group, AWS |    IBM 				     | Internet: lehr@futserv.austin.ibm.com Austin, TX  78758		     |    NA NA NA NA NA NA NA"
med," lady@uhunix.uhcc.Hawaii.Edu (Lee Lady)"," Re: Science and methodology (was: Homeopathy ... tradition?)"," Avoiding mistakes is certainly highly desirable.  However it is also  widely acknowledged that perfectionism is inimicable to creativity.  And in ordinary life, perfectionism carried beyond a certain point is  indicative of a psychological disorder.  In the extreme case, a   perfectionist becomes so paralyzed by all the possible mistakes he might  make that he is unable to even leave the house.    In science, we want to discover as much truth about the world as possible  and we also want to have as much certainty as possible about these  discoveries.  Usually there is some trade-off between these two desiderata  --- the search for scope and the search for certainty.    If 18th century mathematicians had demanded total rigor from Newton and  Leibniz then there would probably be no calculus today, because neither  of the two could explain calculus in a way that really made sense, since  they lacked the concept of a limit.  And in fact, because of the lack of  a rigorous foundation, they made a number of errors in their use of calculus.  It was only a hundred years later that Weistrass was able to give a solid  grounding for the ideas of Newton and Leibniz.  Nonetheless, what Newton  and Leibniz did was undoubtedly science and mathematics gained a great  deal more from the application of their important ideas than it lost  through the mistakes they made.    In article <1993Apr14.171230.16138@kestrel.edu> king@reasoning.com      (Dick King) writes: >  [ Somebody writes: ] >>I doubt if Einstein used any formal methodology.  .... >  .... >He also proposed numerous experiments which if performed would distinguish a >universe in which special relativity holds from one in which it does not. >         .... >Einstein played by the rules, which demand that hypotheses only be put out >there if there exists a specific experiment that could disprove them.  These are not the rules according to many who post to sci.med and sci.psychology.  According to these posters   If it's not supported by carefully designed controlled studies then it's not science.   Taken to the extreme, I believe that the attitude that empirical studies  are everything and ideas are nothing results in a complete stultification  of science.    For one thing, an insistence on an elaborate and expensive methodology  results in a sort of scientific trade-unionism, where those outside  the establishment and lacking institutional or corporate support have  no chance to obtain a hearing.  (I don't in the least believe that this  is the intention of the arbiters of scientific methodology.  Nonetheless,  it is one of the results.)   And although institutional science has  certainly produced many wonderful results, I think it is a foolish  arrogance for scientists to believe that no one outside the establishment  --- and using less than perfect empirical methodology --- will ever come  with anything worthwhile.    Furthermore, the big bucks approach to science promotes what I think is one of the most significant errors in science:  choosing to investigate questions because they can be readily handled by the currently fashionable methodology (or because one can readily get institutional or corporate sponsorship for them) instead of directing attention to those questions which seem to have fundamental significance.  For instance, certain questions cannot be easily investigated with statistical methods because the relevant factors are not quantitative. (One could argue that this is the case for almost all questions in many areas of psychology.  In my opinion, a perusal of many of the papers resulting from the attempt by psychologists to force these questions into a statistical framework gives the lie to Russell Turpin's assertion that current scientific methods  avoid all known errors. )  I think that asking the wrong question is probably the most fundamental  error in science.  (Ignoring potentially valuable ideas is one of the  others.)  And I think that scientific journals are full of all  too many studies done with impeccable empirical methods but which are  worthless because the wrong question was asked in the first place.    -- In the arguments between behaviorists and cognitivists, psychology seems  less like a science than a collection of competing religious sects.     lady@uhunix.uhcc.hawaii.edu         lady@uhunix.bitnet NA NA NA NA NA NA NA NA"
med," johnf@HQ.Ileaf.COM (John Finlayson)"," Re: Exercise and Migraine","In article <1993Apr15.163133.25634@ntmtv> janet@ntmtv.com (Janet Jakstys) writes: >               ... the other day I played tennis during my lunch >hour.  I'm out of tennis shape so it was very intense exercise.  I >got overheated, and dehydrated.  Afterwards, I noticed a tingling >sensation all over my head then about 2 hours later, I could feel >a migraine start.  (I continued to drink water in the afternoon.) >I took cafergot, but it didn't help and the pain started although >it wasn't as intense as it usually is and about 9pm that night, the >pain subsided. > >This isn't the first time that I've had a migraine occur after exercise. >I'm wondering if anyone else has had the same experience and I wonder >what triggers the migraine in this situation (heat buildup? dehydration?). >I'm not giving up tennis so is there anything I can do (besides get into  >shape and don't play at high noon) to prevent this?  Hi Janet,  Sounds exactly like mine.  Same circumstance, same onset symptoms,  same cafergot uselessness, same duration.  In fact, of all the people I know who have migraines, none have been so similar.  There is such a wide variation between people with respect to what causes their headaches, that I generally don't bother sharing what I've learned about mine, but since ours seem to be alike, here are my observations.  I don't think it's heat, per se (I've had more in winter than summer). Dehydration could conceivably figure, though.  Try tanking up before playing rather than after.  Being in shape doesn't seem to help me much, either.  I've identified four factors that do make a difference (listed in  descending order of importance):  1) Heavy exercise 2) Sleep deprivation 3) Fasting		(e.g., skipped breakfast) 4) Physical trauma	(e.g., head bonk)  Heavy exercise has preceded all of my post-adolescent migraines, but I  don't get migraines after every heavy exercise session.  One or more of  the other factors *must* be present (usually #2).  Since I discovered  this, I've been nearly migraine-free -- relapsing only once every two  or three years when I get cocky ( It's been so long, maybe I just don't  get them anymore ) and stop being careful.  Hope this is helpful.  John. NA NA NA NA NA NA"
med," kxgst1+@pitt.edu (Kenneth Gilbert)"," Re: erythromycin","In article <47974@sdcc12.ucsd.edu> wsun@jeeves.ucsd.edu (Fiberman) writes: :Is erythromycin effective in treating pneumonia? : :-fm   Not only is it effective, it is in fact the drug of choice for uncomplicated cases of community-acquired penumonia.  --  =-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-|-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-= =  Kenneth Gilbert              __|__        University of Pittsburgh   = =  General Internal Medicine      |       ...dammit, not a programmer!  = =-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-|-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-= NA NA NA NA NA"
med," kxgst1+@pitt.edu (Kenneth Gilbert)"," Re: Emphysema question","In article <1993Apr15.180621.29465@radford.vak12ed.edu> mmatusev@radford.vak12ed.edu (Melissa N. Matusevich) writes: :Thanks for all your assistance. I'll see if he can try a :different brand of patches, although he's tried two brands :already. Are there more than two?  The brands I can come up with off the top of my head are Nicotrol, Nicoderm and Habitrol.  There may be a fourth as well.   --  =-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-|-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-= =  Kenneth Gilbert              __|__        University of Pittsburgh   = =  General Internal Medicine      |       ...dammit, not a programmer!  = =-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-|-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-= NA NA NA NA NA"
med," dmp@fig.citib.com (Donna M. Paino)"," Psoriatic Arthritis - Info Needed Please!","  A friend of mine has been diagnosed with Psoriatic Arthritis, as a result of trauma sustained in a car accident several years ago.  The psoriasis is under control but the arthritis part of the illness is not.  Ansaid (non-steroidal anti-inflammatory) worked pretty well for three years but isn't helping much now.  My friend is now taking Meclomen (another NSAID) but this isn't helping control the pain at all.  In the past two months my friend has also started taking Azulfadine along with the NSAID medicines, but the effects of the combined drugs aren't supposed to be realized for several months.  As a result of the pain, my friend is having problems sleeping.  Staying in one position too long is an ordeal.  Another major contributor to pain is that tendonitis has now developed (left thumb and hand with numbness at the base of the palm; bottom of feet; shoulders and outer thighs).  The tendonitis is quite painful yet my friend's doctor has not recommended any form of treatment to relieve it.  The latest twist is that the doctor has dropped the anti-inflammatories and is now recommending Prednisone.  The hope is that the Prednisone will relieve some of the pain from the tendonitis.  My friend is a 41 year old male who feels like he's 80 (his words, not mine).   If anyone is aware of any new treatments for Psoriatic Arthritis, alternative courses of action, support groups or literature on it, I would be extremely grateful if you could e-mail to me.  If anyone is interested, I'll post a summary to this newsgroup.  thanks in advance, Donna dmp@fig.citib.com NA NA NA NA NA NA"
med," rind@enterprise.bih.harvard.edu (David Rind)"," Re: erythromycin","In article <47974@sdcc12.ucsd.edu> wsun@jeeves.ucsd.edu (Fiberman) writes: >Is erythromycin effective in treating pneumonia?  It depends on the cause of the pneumonia.  For treating bacterial pneumonia in young otherwise-healthy non-smokers, erythromycin is usually considered the antibiotic of choice, since it covers the two most-common pathogens: strep pneumoniae and mycoplasma pneumoniae. --  David Rind rind@enterprise.bih.harvard.edu NA NA NA NA NA NA"
med," slyx0@cc.usu.edu"," Re: Is MSG sensitivity superstition?","In article <1993Apr15.190711.22190@walter.bellcore.com>, jchen@wind.bellcore.com (Jason Chen) writes: > In article <1993Apr15.135941.16105@lmpsbbs.comm.mot.com>, dougb@comm.mot.com (Doug Bank) writes: >  > |> I woke up at 2 AM and puked my guts outs. > |> I threw up for so long that (I'm not kidding) I pulled a muscle in > |> my tongue.  Dry heaves and everything.  No one else got sick, and I'm > |> not allergic to anything that I know of.   >  > The funny thing is the personaly stories about reactions to MSG vary so > greatly. Some said that their heart beat speeded up with flush face. Some > claim their heart  skipped  beats once in a while. Some reacted with > headache, some stomach ache. Some had watery eyes or running nose, some > had itchy skin or rashes. More serious accusations include respiration  > difficulty and brain damage.  >  > Now here is a new one: vomiting. My guess is that MSG becomes the number one > suspect of any problem. In this case. it might be just food poisoning. But > if you heard things about MSG, you may think it must be it.  Surprise surprise, different people react differently to different things. One slightly off the subject case in point. My brother got stung by a bee. I know he is allergic to bee stings, but that his reaction is severe localized swelling, not anaphylactic shock. I could not convince the doctors of that, however, because that's not written in their little rule book.  I would not be surprised in the least to find out the SOME people have bad reactions to MSG, including headaches, stomachaches and even vomiting. Not that the stuff is BAD or POISON and needs to be banned, but people need to be aware that it can have a bad effect on SOME people.  Lone Wolf                                        Happy are they who dream dreams, Ed Philips                            And pay the price to see them come true. slyx0@cc.usu.edu                                                                                                             -unknown   NA NA NA NA NA"
med," milsh@nmr-z.mgh.harvard.edu (Alex Milshteyn)"," Re: Is MSG sensitivity superstition?","In article <C5H74z.9v4@crdnns.crd.ge.com> meltsner@crd.ge.com writes: > > >I wouldn't call it a double-blind, but one local restaurant's soup >provokes an impressive migraine headache for my wife -- that one >take-out and no other...   Nothing unisual. Quote:   Chinese Restaurant Syndrome (CRS): a transient syndrome, associated with arterial dilatation, due to ingestion of monosodium glutamate, which is used liberally in seasoning chinese food; it is characterized by throbbing of the head, lightheadedness, tightness of the jaw, neck and shoulders, and bachache.   End quote. Source: Dorland's Illustrated Medical Dictionary, 27th edition, 1988, W.B. Saunders, p 1632.  This was known long ago.  Brain produces and uses some MSG naturally, but not in doses it is served at some chinese places.  Having said that, i might add, that in MHO, MSG does not enhance flavor enoughf for me to miss it.  When I go to chinese places, I order food without MSG.  Goos places will do it for you. A prerequisite for such a service would be a waiter, capable of understanding, what you want.   Good Luck.   am --  Alexander M. Milshteyn M.D.   <milsh@cipr-server.mgh.harvard.edu> CIPR, MGH in Boston, MA.     (617)724-9507 Vox  (617)726-7830 Fax NA NA NA NA NA"
med," neal@cmptrc.lonestar.org (Neal Howard)"," Re: Science and methodology (was: Homeopathy ... tradition?)","In article <1993Apr15.150550.15347@ecsvax.uncecs.edu> ccreegan@ecsvax.uncecs.edu (Charles L. Creegan) writes: > >What about Kekule's infamous derivation of the idea of benzene rings >from a daydream of snakes in the fire biting their tails?  Is this >specific enough to count?  Certainly it turns up repeatedly in basic >phil. of sci. texts as an example of the inventive component of >hypothesizing.   I sometimes wonder if Kekule's dream wasn't just a wee bit influenced by aromatic solvent vapors ;-) heh heh.   --  ============================================================================= Neal Howard   '91 XLH-1200      DoD #686      CompuTrac, Inc (Richardson, TX) 	      doh #0000001200   |355o33|      neal@cmptrc.lonestar.org 	      Std disclaimer: My opinions are mine, not CompuTrac's.           Let us learn to dream, gentlemen, and then perhaps           we shall learn the truth.  -- August Kekule' (1890) ============================================================================= NA NA NA NA NA"
med," dwebb@unl.edu (dale webb)"," Re: THE BACK MACHINE - Update","   I have a BACK MACHINE and have had one since January.  While I have not  found it to be a panacea for my back pain, I think it has helped somewhat.  It MAINLY acts to stretch muscles in the back and prevent spasms associated with pain.  I am taking less pain medication than I was previously.      The folks at BACK TECHNOLOGIES are VERY reluctant to honor their return  policy.  They extended my  warranty  period rather than allow me to return  the machine when, after the first month or so, I was not thrilled with it.  They encouraged me to continue to use it, abeit less vigourously.     Like I said, I can't say it is a cure-all, but it keeps me stretched out and I am in less pain. -- *********************************************************************** Dale M. Webb, DVM, PhD           *  97% of the body is water.  The Veterinary Diagnostic Center     *  other 3% keeps you from drowning. University of Nebraska, Lincoln  * NA NA NA NA NA NA NA"
med," rjf@lzsc.lincroftnj.ncr.com (51351[efw]-Robert Feddeler(MT4799)T343)"," Re: centrifuge","Mr. Blue (car@access.digex.com) wrote: : Could somebody explain to me what a centrifuge is and what it is : used for? I vaguely remembre it being something that spins test tubes : around really fast but I cant remember why youd want to do that?   Purely recreational.  They get bored sitting in that rack all the time.    -- bob.					   | I only smile when I lie, You can learn more in a bar		   | And I'll tell you why... 	than you can in a lawyer's office. | Were these more than just my opinions, they would have cost a bit more. NA NA NA NA NA NA NA"
med," caf@omen.UUCP (Chuck Forsberg WA7KGX)"," Re: My New Diet --> IT WORKS GREAT !!!!","In article <1qk6v3INNrm6@lynx.unm.edu> bhjelle@carina.unm.edu () writes: > >Gordon Banks: > >>a lot to keep from going back to morbid obesity.  I think all >>of us cycle.  One's success depends on how large the fluctuations >>in the cycle are.  Some people can cycle only 5 pounds.  Unfortunately, >>I'm not one of them. >> >> >This certainly describes my situation perfectly. For me there is >a constant dynamic between my tendency to eat, which appears to >be totally limitless, and the purely conscious desire to not >put on too much weight. When I get too fat, I just diet/exercise >more (with varying degrees of success) to take off the >extra weight. Usually I cycle within a 15 lb range, but >smaller and larger cycles occur as well. I'm always afraid >that this method will stop working someday, but usually >I seem to be able to hold the weight gain in check. >This is one reason I have a hard time accepting the notion >of some metabolic derangement associated with cycle dieting >(that results in long-term weight gain). I have been cycle- >dieting for at least 20 years without seeing such a change.  As mentioned in Adiposity 101, only some experience weight rebound.  The fact that you don't doesn't prove it doesn't happen to others. --  Chuck Forsberg WA7KGX          ...!tektronix!reed!omen!caf  Author of YMODEM, ZMODEM, Professional-YAM, ZCOMM, and DSZ   Omen Technology Inc     The High Reliability Software  17505-V NW Sauvie IS RD   Portland OR 97231   503-621-3406 NA NA NA NA NA"
med," smithmc@mentor.cc.purdue.edu (Lost Boy)"," Re: Can men get yeast infections?","In article <noringC5Fnx2.2v2@netcom.com> noring@netcom.com (Jon Noring) writes: >In article Tammy.Vandenboom@launchpad.unc.edu (Tammy Vandenboom) writes: > >>Here's a potentially stupid question to possibly the wrong news group, but. . >> >>Can men get yeast infections? Spread them? What kind of symptoms? >>Similar as women's?  I have a yeast infection and my husband (who is a >>natural paranoid on a good day) is sure he's gonna catch it and keeps >>asking me what it's like.  I'm not sure what his symptoms would be. .  > >The answer is yes and no.  I'm sure others on sci.med can expand on this. > >Jon  I know from personal experience that men CAN get yeast infections. I  get rather nasty ones from time to time, mostly in the area of the scrotum and the base of the penis. They're nowhere near as dangerous for me as for many women, but goddamn does it hurt in the summertime! Even in the wintertime, when I sweat I get really uncomfy down there. The best thing I can do to keep it under control is keep my weight down and keep cool down there. Shorts in 60 degree weather, that kind of thing. And of course some occasional sun.   Lost Boy  NA NA NA NA NA NA"
med," black@sybase.com (Chris Black)"," cystic breast disease","My mom has just been diagnosed with cystic breast disease -- a big relief, as it was a lump that could have been cancer.  Her doctor says she should go off caffeine and chocolate for 6 months, as well as stopping the estrogen she's been taking for menopause-related reasons. She's not thrilled with this, I think especially because she just gave up cigarettes -- soon she won't have any pleasures left!  Now, I thought I'd heard that cystic breasts were common and not really a health risk. Is this accurate?  If so, why is she being told to make various sacrifices to treat something that's not that big of a deal?  Thanks for any information.  -- Chris  --  black@sybase.com  Note:  My mailer tends to garble subject lines.   NA NA NA NA NA"
med," naomi@rock.concert.net (Naomi T Courter)"," Endometriosis"," can anyone give me more information regarding endometriosis?   i heard it's a very common disease among women and if anyone can provide names of a specialist/surgeon in  the north carolina research triangle  park area (raleigh/durham/chapel  hill) who is familiar with the condition, i would really appreciate it.  thanks.   --Naomi --  Naomi L.T. Courter Network Services Specialist MCNC - Center for Communications CONCERT Network  NA NA NA NA NA"
med," nyeda@cnsvax.uwec.edu (David Nye)"," Re: Migraines and scans","[reply to geb@cs.pitt.edu (Gordon Banks)]   >>If you can get away without ever ordering imaging for a patient with >>an obviously benign headache syndrome, I'd like to hear what your magic >>is.   >I certainly can't always avoid it (unless I want to be rude, I suppose).   I made a decision a while back that I will not be bullied into getting studies like a CT or MRI when I don't think they are indicated.  If the patient won't accept my explanation of why I think the study would be a waste of time and money, I suggest a second opinion.   David Nye (nyeda@cnsvax.uwec.edu).  Midelfort Clinic, Eau Claire WI This is patently absurd; but whoever wishes to become a philosopher must learn not to be frightened by absurdities. -- Bertrand Russell NA NA NA NA NA"
med," jim.zisfein@factory.com (Jim Zisfein) "," klonopin and pregnancy","A(> From: adwright@iastate.edu () A(> A woman I know is tapering off klonopin. I believe that is one of the A(> benzodiazopines. She is taking a very minimal dose right now, half a tablet A(> a day. She is also pregnant. My question is Are there any known cases where A(> klonopin or similar drug has caused harmful effects to the fetus? A(>  How about cases where the mother took klonopin or similar substance and had A(> normal baby. Any information is appreciated. She wants to get a feel for A(> what sort of risk she is taking. She is in her first month of pregnancy.  Klonopin, according to the PDR (Physician's Desk Reference), is not a proven teratogen.  There are isolated case reports of malformations, but it is impossible to establish cause-effect relationships.  The overwhelming majority of women that take Klonopin while pregnant have normal babies. ---  . SLMR 2.1 . E-mail: jim.zisfein@factory.com (Jim Zisfein)                                                                 NA NA NA NA NA NA NA"
med," C599143@mizzou1.missouri.edu (Matthew Q Keeler de la Mancha)"," Infant Immune Development Question","As an animal science student, I know that a number of animals transfer immunoglobin to thier young through thier milk.  In fact, a calf _must_ have a sufficient amount of colostrum (early milk) within 12 hours to effectively develop the immune system, since for the first (less than) 24 hours the intestines are  open  to the IG passage.  My question is, does this apply to human infants to any degree?   Thanks for your time responding, Matthew Keeler c599143@mizzou1.missouri.edu NA NA NA NA NA NA"
med," carl@SOL1.GPS.CALTECH.EDU (Carl J Lydick)"," Re: Is MSG sensitivity superstition?","In article <1993Apr15.173902.66278@cc.usu.edu>, slyx0@cc.usu.edu writes: =Surprise surprise, different people react differently to different things. One =slightly off the subject case in point. My brother got stung by a bee. I know =he is allergic to bee stings, but that his reaction is severe localized =swelling, not anaphylactic shock. I could not convince the doctors of that, =however, because that's not written in their little rule book.  Of course, bee venom isn't a single chemical.  Could be your brother is reacting to a different component than the one that causes anaphylactic shock in other people.  Similarly, Chinese food isn't just MSG.  There are a lot of other ingredients in it.  Why, when someone eats something with lots of ingredients they don't normally consume, one of which happens to be MSG, do they immediately conclude that any negative reaction is to the MSG?  =I would not be surprised in the least to find out the SOME people have bad =reactions to MSG, including headaches, stomachaches and even vomiting.  I'd be surprised if some of these reactions weren't due to other ingredients. -------------------------------------------------------------------------------- Carl J Lydick | INTERnet: CARL@SOL1.GPS.CALTECH.EDU | NSI/HEPnet: SOL1::CARL  Disclaimer:  Hey, I understand VAXen and VMS.  That's what I get paid for.  My understanding of astronomy is purely at the amateur level (or below).  So unless what I'm saying is directly related to VAX/VMS, don't hold me or my organization responsible for it.  If it IS related to VAX/VMS, you can try to hold me responsible for it, but my organization had nothing to do with it. NA NA NA NA NA NA NA NA"
med," texx@ossi.com (Robert  Texx  Woodworth)"," Re: Can men get yeast infections?","noring@netcom.com (Jon Noring) writes:  >In article Tammy.Vandenboom@launchpad.unc.edu (Tammy Vandenboom) writes:  >>Here's a potentially stupid question to possibly the wrong news group, but. . >> >>Can men get yeast infections? Spread them? What kind of symptoms? >>Similar as women's?  I have a yeast infection and my husband (who is a >>natural paranoid on a good day) is sure he's gonna catch it and keeps >>asking me what it's like.  I'm not sure what his symptoms would be. .   >The answer is yes and no.  I'm sure others on sci.med can expand on this.  Recently someone posted an account of this. Unfortunately it was posted to alt.tasteless so the gross details were emphasized instead of th e actual scientific facts. NA NA NA NA NA NA NA"
med," dfitts@carson.u.washington.edu (Douglas Fitts)"," Re: RA treatment question","eulenbrg@carson.u.washington.edu (Julia Eulenberg) writes:  >I'm assuming that you mean Rheumatoid Arthritis (RA).  I've never heard  >of the  cold treatment  you mentioned.  I can't imagine how it would  >work, since most of us who have Rh.Arthr./RA seem to have more problems >in cold weather than in warm weather.  Would be interested to hear more! >Z >Z   No, obviously talking about Research Assistants.  I favor a high protein, low fat diet, barely adequate salary on a fixed time schedule, four hours of sleep a night, continuous infusion of latte, unpredictable praise  mixed randomly with anxiety-provoking, everpresent glances with  lowered eyebrows, unrealistic promises of rapid publication, and  every three months a dinner consisting of nothing but microbrewery ale and free pretzels.  Actually, mine hails from San Diego, and indeed  has more problems in Seattle in cold weather than in warm.  Doug Fitts dfitts@u.washington.edu    NA NA NA NA NA NA"
